Id,added_words,WordCount,Lat,Long,group
OldFrankenstein,1,0,0,0,fortnite
CommanderKefir,0,0,0,0,fortnite
190.82.103.206,0,0,0,0,fortnite
Titore,0,0,0,0,both
2A01:C50E:89A3:2000:1C3B:2E1F:67A4:B1E1,0,0,0,0,fortnite
85.204.136.17,0,0,0,0,fortnite
Prcondo,0,0,0,0,fortnite
202.45.119.29,0,0,0,0,fortnite
Marcok,1,0,0,0,fortnite
36.80.218.123,0,0,0,0,fortnite
Ameisenigel,2,0,0,0,both
124.253.197.218,0,0,0,0,fortnite
193.63.41.17,0,0,0,0,fortnite
Legoktm,0,0,0,0,fortnite
2001:56A:7790:C900:244D:B915:5024:22C,1,0,0,0,fortnite
Fuzheado,0,0,0,0,fortnite
Amadalvarez,1,0,0,0,fortnite
Simona vy,1,0,0,0,fortnite
24.209.86.164,0,0,0,0,fortnite
103.12.128.98,0,0,0,0,fortnite
RazDum,0,0,0,0,fortnite
2.152.247.15,0,0,0,0,fortnite
210.55.200.165,0,0,0,0,fortnite
Solidest,1,0,0,0,fortnite
199.241.172.138,0,0,0,0,fortnite
J 1982,1,0,0,0,both
2601:249:8180:35B0:DDF6:A2F3:E35F:A6ED,0,0,0,0,fortnite
NotRepubilcTV,0,0,0,0,fortnite
OsamaK,0,0,0,0,both
181.230.144.24,0,0,0,0,fortnite
Floyd-out,12,0,0,0,both
194.25.12.235,0,0,0,0,fortnite
83.36.120.174,0,0,0,0,fortnite
NicoScribe,0,0,0,0,fortnite
Nvrandow,1,0,0,0,fortnite
186.105.57.107,0,0,0,0,fortnite
Nrodriguez0620,0,0,0,0,fortnite
175.32.224.145,0,0,0,0,fortnite
Mielas,0,0,0,0,fortnite
2602:306:35FB:69D0:BDB8:61BE:E5D1:BE6A,0,0,0,0,fortnite
212.231.64.161,0,0,0,0,fortnite
Emberwit,1,0,0,0,fortnite
85.222.255.54,0,0,0,0,fortnite
Frettie,2,0,0,0,fortnite
PLbot,0,0,0,0,fortnite
Meno25,0,0,0,0,fortnite
Sjoerddebruin,0,0,0,0,fortnite
81.186.1.49,0,0,0,0,fortnite
2605:A000:92C7:A300:28A3:C089:283D:FA5E,0,0,0,0,fortnite
Hjart,0,0,0,0,fortnite
190.239.191.21,0,0,0,0,fortnite
Tom Morris,1,0,0,0,fortnite
Hibyetmrwtoday,0,0,0,0,fortnite
199.164.68.175,0,0,0,0,fortnite
AlbertRA,1,0,0,0,fortnite
Jaijal,1,0,0,0,fortnite
Pahkiqaz,3,0,0,0,fortnite
Aguchito2023,2,0,0,0,fortnite
A particle for world to form,5,0,0,0,fortnite
Pacostein,1,0,0,0,fortnite
217.180.35.14,0,0,0,0,fortnite
Iamcarbon,0,0,0,0,fortnite
73.175.161.47,0,0,0,0,fortnite
UnderlyingBot,4,0,0,0,fortnite
Spinoziano,2,0,0,0,both
94.59.238.236,0,0,0,0,fortnite
Pasleim,2,0,0,0,both
Manu1400,1,0,0,0,fortnite
51.179.165.52,0,0,0,0,fortnite
98.180.64.93,0,0,0,0,fortnite
Johannesoestby,0,0,0,0,fortnite
Máté,1,0,0,0,fortnite
2601:601:947F:B7D8:98EA:353C:698A:ED92,0,0,0,0,fortnite
Bouzinac,2,0,0,0,fortnite
Theklan,1,0,0,0,fortnite
Misc,1,0,0,0,fortnite
194.100.50.69,0,0,0,0,fortnite
87.231.155.207,0,0,0,0,fortnite
76.1.164.192,0,0,0,0,fortnite
168.9.35.212,0,0,0,0,fortnite
WikiPediaAid,0,0,0,0,fortnite
Lewis Hulbert,3,0,0,0,both
Garrett,1,0,0,0,fortnite
Skazi,0,0,0,0,fortnite
201.97.46.117,0,0,0,0,fortnite
24.105.173.194,0,0,0,0,fortnite
Stylez995,0,0,0,0,fortnite
ZebaX,1,0,0,0,fortnite
75.15.233.160,0,0,0,0,fortnite
201.142.135.61,0,0,0,0,fortnite
BorkedBot,3,0,0,0,both
2806:109F:9:51A3:ACE8:F1E1:DFC9:B7EA,0,0,0,0,fortnite
Tantamounts,0,0,0,0,fortnite
Trade,12,0,0,0,both
195.236.123.25,0,0,0,0,fortnite
ThomasPusch,0,0,0,0,fortnite
94.44.241.1,0,0,0,0,fortnite
2.101.82.4,0,0,0,0,fortnite
Haansn08,0,0,0,0,fortnite
72.10.96.38,0,0,0,0,fortnite
Kirilloparma,54,0,0,0,both
Mbchbot,0,0,0,0,fortnite
2604:2000:1201:8B79:F527:8CCD:2968:84B0,0,0,0,0,fortnite
194.83.16.10,0,0,0,0,fortnite
Xezbeth,4,0,0,0,both
Skyshifter,0,0,0,0,fortnite
Janbery,0,0,0,0,fortnite
Guillaume645,0,0,0,0,fortnite
Up boi,0,0,0,0,fortnite
KrBot,2,0,0,0,both
Bovlb,0,0,0,0,fortnite
Nw520,1,0,0,0,fortnite
HakanIST,0,0,0,0,fortnite
Koko1998,0,0,0,0,fortnite
Rorschach,2,0,0,0,fortnite
Dgdffsdg,0,0,0,0,fortnite
Loominade,1,0,0,0,fortnite
Iouppoiytd,0,0,0,0,fortnite
Saarik,1,0,0,0,fortnite
NicereddyBot,4,0,0,0,both
92.111.193.138,0,0,0,0,fortnite
64.72.84.67,0,0,0,0,fortnite
Dr.üsenfieber,0,0,0,0,fortnite
Bargioni,0,0,0,0,fortnite
Cjkotecki,0,0,0,0,fortnite
Shinnin,0,0,0,0,fortnite
2601:CB:4002:997:D03D:45B:58D7:B647,0,0,0,0,fortnite
70.188.11.232,0,0,0,0,fortnite
Dexbot,0,0,0,0,both
Btcprox,2,0,0,0,fortnite
87.251.157.223,0,0,0,0,fortnite
2800:E2:D80:EF0:E04E:69B2:4D8A:6857,0,0,0,0,fortnite
Elcaspas,0,0,0,0,fortnite
Yupik,1,0,0,0,fortnite
Verdel,1,0,0,0,fortnite
58.10.153.152,0,0,0,0,fortnite
45.72.235.121,0,0,0,0,fortnite
Doublah,1,0,0,0,fortnite
153.107.26.139,0,0,0,0,fortnite
BrokenSegue,4,0,0,0,both
FireDragonValo,9,0,0,0,fortnite
Teiron,1,0,0,0,fortnite
Pyb en résidence,1,0,0,0,fortnite
Mariobanana,1,0,0,0,fortnite
2001:1284:F016:1058:216:3EFF:FE2F:A0ED,0,0,0,0,fortnite
Hamedkazemi2,1,0,0,0,fortnite
165.155.205.247,0,0,0,0,fortnite
Circeus,1,0,0,0,fortnite
Pintoch,4,0,0,0,both
96.5.31.9,0,0,0,0,fortnite
201.220.18.182,0,0,0,0,fortnite
DivineTajic,1,0,0,0,fortnite
Wd-Ryan,1,0,0,0,both
Jared Preston,0,0,0,0,fortnite
2A01:C50F:FE52:EB00:B17A:7BF0:B758:6A9F,0,0,0,0,fortnite
153.107.193.210,0,0,0,0,fortnite
200.68.140.17,0,0,0,0,fortnite
Overcast07,0,0,0,0,both
69.58.49.50,0,0,0,0,fortnite
113.160.94.2,0,0,0,0,fortnite
84.121.121.173,0,0,0,0,fortnite
83.202.79.127,0,0,0,0,fortnite
145.120.87.139,0,0,0,0,fortnite
Maxlath,1,0,0,0,both
193.50.75.162,1,0,0,0,fortnite
181.94.225.44,0,0,0,0,fortnite
91.106.133.216,0,0,0,0,fortnite
ZellmerLP,1,0,0,0,fortnite
37.132.39.35,0,0,0,0,fortnite
190.221.94.193,0,0,0,0,fortnite
64.113.185.161,0,0,0,0,fortnite
Altuhacker,0,0,0,0,fortnite
Robby,1,0,0,0,fortnite
Powell2026,0,0,0,0,fortnite
Valentina.Anitnelav,1,0,0,0,fortnite
KonstantinaG07,0,0,0,0,fortnite
Jean-Frédéric,6,0,0,0,both
PedroAcero76,0,0,0,0,fortnite
Kill trump,0,0,0,0,fortnite
Nicereddy,0,0,0,0,fortnite
Thinkcontext,1,0,0,0,fortnite
213.97.38.217,0,0,0,0,fortnite
83.50.37.215,0,0,0,0,fortnite
3fortnite,0,0,0,0,fortnite
199.216.93.230,0,0,0,0,fortnite
88.27.246.81,0,0,0,0,fortnite
108.84.26.212,0,0,0,0,fortnite
Matlin,2,0,0,0,fortnite
LiberatorG,0,0,0,0,both
213.148.194.118,0,0,0,0,fortnite
Սահակ,0,0,0,0,fortnite
Wydupczaj,0,0,0,0,fortnite
168.184.14.101,0,0,0,0,fortnite
85.251.170.37,0,0,0,0,fortnite
Dissident93,0,0,0,0,fortnite
2A00:23C4:2804:F800:AD1D:F41A:4275:5ED2,0,0,0,0,fortnite
199.185.67.87,0,0,0,0,fortnite
81.43.65.73,0,0,0,0,fortnite
2.108.150.86,0,0,0,0,fortnite
AGbot,1,0,0,0,fortnite
Harryboyles,0,0,0,0,both
152.170.90.250,0,0,0,0,fortnite
Danrok,8,0,0,0,both
190.183.76.241,0,0,0,0,fortnite
Trivialist,4,0,0,0,fortnite
Kooma,1,0,0,0,fortnite
BrookTheHumming,0,0,0,0,fortnite
Coyau,1,0,0,0,fortnite
109.211.70.250,0,0,0,0,fortnite
41.92.7.51,0,0,0,0,fortnite
Josh404Bot,0,0,0,0,fortnite
Ldhank,1,0,0,0,fortnite
YMS,4,0,0,0,fortnite
198.236.39.100,0,0,0,0,fortnite
151.41.184.239,0,0,0,0,fortnite
Renamed user f26394dcb19bd7bdad78f0d752896653,1,0,0,0,fortnite
85.194.217.253,0,0,0,0,fortnite
Shimarin,0,0,0,0,fortnite
185.73.189.70,0,0,0,0,fortnite
2001:16A2:8BA:7700:1D6C:F16C:A628:4E34,0,0,0,0,fortnite
Matthias M.,6,0,0,0,both
5.156.59.63,0,0,0,0,fortnite
37.210.61.212,0,0,0,0,fortnite
189.243.227.18,0,0,0,0,fortnite
203.54.240.158,0,0,0,0,fortnite
162.127.48.2,0,0,0,0,fortnite
186.106.173.134,0,0,0,0,fortnite
Kareyac,1,0,0,0,fortnite
170.158.107.210,0,0,0,0,fortnite
Vojtěch Dostál,0,0,0,0,fortnite
122.56.77.7,0,0,0,0,fortnite
Fenixs-ru,1,0,0,0,fortnite
Vanished user dQDlMQgQxhLcMeEgJccr,0,0,0,0,fortnite
188.127.96.182,0,0,0,0,fortnite
94.23.206.11,0,0,0,0,fortnite
MineoBot,1,0,0,0,fortnite
Art-top,1,0,0,0,fortnite
83.223.9.44,0,0,0,0,fortnite
BeneBot*,2,0,0,0,fortnite
FallingGravity,2,0,0,0,fortnite
Wvdp,1,0,0,0,fortnite
Josh404,2,0,0,0,fortnite
E-Soter,2,0,0,0,fortnite
190.48.130.87,0,0,0,0,fortnite
Simon Villeneuve,2,0,0,0,both
Gorjablanc,0,0,0,0,fortnite
MisterSynergy,0,0,0,0,both
81.207.119.62,0,0,0,0,fortnite
Kam Solusar,1,0,0,0,both
213.67.29.106,0,0,0,0,fortnite
189.215.232.15,0,0,0,0,fortnite
Hakken,1,0,0,0,fortnite
188.86.15.136,0,0,0,0,fortnite
Hguti2004,0,0,0,0,fortnite
2003:6:6354:4F03:7A32:64AB:C2E0:3B25,0,0,0,0,fortnite
168.216.112.212,0,0,0,0,fortnite
NoInkling,0,0,0,0,fortnite
Sonic N800,3,0,0,0,fortnite
87.125.118.126,0,0,0,0,fortnite
Njohnson7,0,0,0,0,fortnite
190.235.106.78,0,0,0,0,fortnite
138.44.64.43,0,0,0,0,fortnite
2A01:C50E:89A3:2000:B95E:5702:F36D:58D0,0,0,0,0,fortnite
Quesotiotyo,1,0,0,0,fortnite
PearlieGirl,1,0,0,0,attack_on_titan
Edgars2007,1,0,0,0,attack_on_titan
Shei98,0,0,0,0,attack_on_titan
Tinker Bell,1,0,0,0,attack_on_titan
85.92.190.251,0,0,0,0,attack_on_titan
CennoxX,2,0,0,0,attack_on_titan
Infovarius,1,0,0,0,attack_on_titan
Brantmeierz,0,0,0,0,attack_on_titan
Crystal-bot,0,0,0,0,attack_on_titan
1-Byte,1,0,0,0,attack_on_titan
Thibaut120094,2,0,0,0,attack_on_titan
OQZYwD0R,0,0,0,0,attack_on_titan
Edoardo88,3,0,0,0,attack_on_titan
Bencemac,6,0,0,0,attack_on_titan
VulcanSphere,1,0,0,0,attack_on_titan
Amitbjadhav,0,0,0,0,attack_on_titan
Bcxfu75k,0,0,0,0,attack_on_titan
Krassotkin,0,0,0,0,attack_on_titan
Bradipo Lento,2,0,0,0,attack_on_titan
Eru,1,0,0,0,attack_on_titan
Legobot,1,0,0,0,attack_on_titan
Laftp0,4,0,0,0,attack_on_titan
Mullanur,0,0,0,0,attack_on_titan
Soyomogi,0,0,0,0,attack_on_titan
Wdpp,2,0,0,0,attack_on_titan
QuickStatementsBot,0,0,0,0,attack_on_titan
141.90.9.62,0,0,0,0,attack_on_titan
Reinheitsgebot,1,0,0,0,attack_on_titan
RPI2026F1Bot,2,0,0,0,attack_on_titan
Argo Carpathians,6,0,0,0,attack_on_titan
2404:C0:7140:0:0:0:3120:C28A,0,0,0,0,attack_on_titan
Amihan27,1,0,0,0,attack_on_titan
201.141.236.157,0,0,0,0,attack_on_titan
Урыл,1,0,0,0,attack_on_titan
JuanToño,1,0,0,0,attack_on_titan
2600:1700:3720:3770:653D:D66:CC44:D501,0,0,0,0,attack_on_titan
130.83.152.40,0,0,0,0,attack_on_titan
194.38.58.32,0,0,0,0,attack_on_titan
122.173.30.137,0,0,0,0,attack_on_titan
EdgarsBot,1,0,0,0,attack_on_titan
Sakretsu,0,0,0,0,attack_on_titan
186.70.189.93,0,0,0,0,attack_on_titan
מתקןמחשב,1,0,0,0,attack_on_titan
ValterVBot,1,0,0,0,attack_on_titan
Simone Biancolilla,9,0,0,0,attack_on_titan
Balise42,1,0,0,0,attack_on_titan
Shumaila.kausar555,0,0,0,0,attack_on_titan
2600:1700:3720:3770:880F:5DDA:4F6D:3F8A,0,0,0,0,attack_on_titan
Firippu-san,2,0,0,0,attack_on_titan
Fryed-peach,2,0,0,0,attack_on_titan
TomT0m,0,0,0,0,attack_on_titan
Joanastasia,0,0,0,0,attack_on_titan
Nafiya Ahmed,0,0,0,0,attack_on_titan
SMP,0,0,0,0,attack_on_titan
78.30.26.146,0,0,0,0,attack_on_titan
93.178.40.230,0,0,0,0,attack_on_titan
61.238.61.111,0,0,0,0,attack_on_titan
ユック,0,0,0,0,attack_on_titan
MisstressD,1,0,0,0,attack_on_titan
Steenthbot,1,0,0,0,attack_on_titan
Jul-Ar,0,0,0,0,attack_on_titan
أنور,0,0,0,0,attack_on_titan
Beko,1,0,0,0,attack_on_titan
DifoolBot,0,0,0,0,attack_on_titan
KasparBot,1,0,0,0,attack_on_titan
Murak0,0,0,0,0,attack_on_titan
GPUBot,1,0,0,0,attack_on_titan
RPI2026F1,4,0,0,0,attack_on_titan
Indpcatll,0,0,0,0,attack_on_titan
Aldnonymous,0,0,0,0,attack_on_titan
Rotpunkt,1,0,0,0,attack_on_titan
MidleadingBot,1,0,0,0,attack_on_titan
MazinX,2,0,0,0,attack_on_titan
Njzjz,1,0,0,0,attack_on_titan
2605:B100:E012:DC54:4849:F360:8DC0:3283,0,0,0,0,attack_on_titan
Mbch331,1,0,0,0,attack_on_titan
Xzonn2000,0,0,0,0,attack_on_titan
JAnDbot,0,0,0,0,attack_on_titan
Jnylen,1,0,0,0,attack_on_titan
Jura1,1,0,0,0,attack_on_titan
Pigsonthewing-bot,1,0,0,0,attack_on_titan
NMaia,2,0,0,0,attack_on_titan
170.231.223.180,0,0,0,0,attack_on_titan
Mhl20,1,0,0,0,attack_on_titan
Cavaliere grande,1,0,0,0,attack_on_titan
Janik98,0,0,0,0,attack_on_titan
Blueuniverseas,0,0,0,0,attack_on_titan
181.29.165.110,0,0,0,0,attack_on_titan
Gauravahlawat81,1,0,0,0,attack_on_titan
Ｈ00000000000,2,0,0,0,attack_on_titan
콩가루,2,0,0,0,attack_on_titan
JersyJacob,0,0,0,0,attack_on_titan
Binarycat64,1,0,0,0,attack_on_titan
Asierog,1,0,0,0,attack_on_titan
Boollieva,1,0,0,0,attack_on_titan
Thierry Caro,2,0,0,0,attack_on_titan
Christian140,2,0,0,0,attack_on_titan
Ideophagous,0,0,0,0,attack_on_titan
Lockal,4,0,0,0,attack_on_titan
Stevenliuyi,2,0,0,0,attack_on_titan
DannyS712,1,0,0,0,attack_on_titan
Epìdosis,0,0,0,0,attack_on_titan
JC Work,0,0,0,0,attack_on_titan
