Source,Target,Type,Label,Predicate,Interval
Arbnos,Trade,Directed,edit,P276,1;2
Trade,BohemianRhapsody,Directed,delete,P276,1;2
BohemianRhapsody,Tmv,Directed,create,P276,1;2
Tmv,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P276,1;2
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P276,1;2
Bouzinac,Supaplex,Directed,edit,P1427,1;2
Supaplex,Dhx1,Directed,edit,P1427,1;2
Dhx1,Sun8908,Directed,edit,P1427,1;2
Efly,Neo-Jay,Directed,edit,P373,1;2
Neo-Jay,Newone,Directed,edit,P373,1;2
Newone,Frodar,Directed,edit,P373,1;2
Frodar,Neo-Jay,Directed,edit,P373,1;2
Osteologia,LLs,Directed,edit,P18,1;2
LLs,Cbliu,Directed,delete,P18,1;2
Cbliu,Arbnos,Directed,create,P18,1;2
Arbnos,D2513850,Directed,edit,P18,1;2
D2513850,Nvrandow,Directed,delete,P18,1;2
Nvrandow,Jeblad,Directed,create,P18,1;2
Jeblad,唐吉訶德的侍從,Directed,delete,P18,1;2
唐吉訶德的侍從,Kaliforniyka,Directed,edit,P18,1;2
Kaliforniyka,Triggerhippie4,Directed,delete,P18,1;2
Triggerhippie4,92.169.205.34,Directed,edit,P18,1;2
92.169.205.34,Desoda,Directed,edit,P18,1;2
Desoda,LLs,Directed,edit,P18,1;2
LLs,WTM,Directed,edit,P18,1;2
WTM,Infovarius,Directed,edit,P18,1;2
Infovarius,Sdkb,Directed,edit,P18,1;2
Sdkb,ŠJů,Directed,edit,P18,1;2
ŠJů,Wolverène,Directed,edit,P18,1;2
Wolverène,ŠJů,Directed,edit,P18,1;2
ŠJů,104.7.153.230,Directed,edit,P18,1;2
104.7.153.230,DanielAlba15,Directed,edit,P18,1;2
DanielAlba15,KrBot,Directed,edit,P18,1;2
KrBot,80.63.56.230,Directed,delete,P18,1;2
80.63.56.230,Sdkb,Directed,create,P18,1;2
Sdkb,Desoda,Directed,edit,P18,1;2
Desoda,4ing,Directed,edit,P18,1;2
4ing,Casanova50,Directed,edit,P18,1;2
Casanova50,Adam Harangozó,Directed,edit,P18,2;3
Adam Harangozó,Christmas Wreath,Directed,edit,P18,2;3
Cbliu,LLs,Directed,edit,P242,1;2
LLs,Xabi22,Directed,edit,P242,1;2
Xabi22,195.58.13.217,Directed,edit,P242,1;2
195.58.13.217,Triggerhippie4,Directed,create,P242,1;2
Neo-Jay,Zzme123,Directed,edit,P2184,1;2
Шкурба Андрій Вікторович,Dhx1,Directed,edit,P780,1;2
Neo-Jay,Frettie,Directed,edit,P1542,1;2
Frettie,Dhx1,Directed,edit,P1542,1;2
Dhx1,Frettie,Directed,create,P1542,1;2
Frettie,ZZARZY223,Directed,delete,P1542,1;2
ZZARZY223,Frettie,Directed,edit,P1542,1;2
Frettie,Triggerhippie4,Directed,edit,P1542,1;2
Triggerhippie4,Dhx1,Directed,edit,P1542,1;2
Dhx1,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,Dhx1,Directed,edit,P1542,1;2
Dhx1,BohemianRhapsody,Directed,edit,P1542,1;2
BohemianRhapsody,ŠJů,Directed,edit,P1542,1;2
ŠJů,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,So9q,Directed,edit,P1542,1;2
So9q,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,Davidpar,Directed,edit,P1542,1;2
Davidpar,KrBot,Directed,edit,P1542,1;2
KrBot,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,KrBot,Directed,edit,P1542,1;2
KrBot,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,24.47.198.150,Directed,edit,P1542,1;2
24.47.198.150,Zhenqinli,Directed,edit,P1542,1;2
Zhenqinli,Davidpar,Directed,edit,P1542,1;2
Davidpar,KrBot,Directed,edit,P1542,1;2
KrBot,Matlin,Directed,edit,P1542,2;3
Matlin,KrBot,Directed,edit,P1542,2;3
KrBot,Swpb,Directed,edit,P1542,3;4
Neo-Jay,Pi bot,Directed,delete,P3722,1;2
舞月書生,Allenwang6212a,Directed,delete,P1424,1;2
Allenwang6212a,DeltaBot,Directed,create,P1424,1;2
Jeblad,151.53.152.90,Directed,edit,P1603,1;2
151.53.152.90,Succu,Directed,edit,P1603,1;2
Succu,Nvrandow,Directed,edit,P1603,1;2
Nvrandow,Bouzinac,Directed,edit,P1603,1;2
Bouzinac,Jeblad,Directed,edit,P1603,1;2
Jeblad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Jeblad,Directed,edit,P1603,1;2
Jeblad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Jeblad,Directed,edit,P1603,1;2
Jeblad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Jeblad,Directed,edit,P1603,1;2
Jeblad,Dhx1,Directed,edit,P1603,1;2
Dhx1,151.9.5.215,Directed,edit,P1603,1;2
151.9.5.215,Dhx1,Directed,edit,P1603,1;2
Dhx1,194.116.26.4,Directed,edit,P1603,1;2
194.116.26.4,Cbliu,Directed,edit,P1603,1;2
Cbliu,240E:390:5611:11B0:848B:36AB:3DB9:C0C8,Directed,edit,P1603,1;2
240E:390:5611:11B0:848B:36AB:3DB9:C0C8,טבעת-זרם,Directed,edit,P1603,1;2
טבעת-זרם,Dhx1,Directed,edit,P1603,1;2
Dhx1,87.0.167.130,Directed,edit,P1603,1;2
87.0.167.130,Eulenspiegel1,Directed,edit,P1603,1;2
Eulenspiegel1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,83.54.26.61,Directed,edit,P1603,1;2
83.54.26.61,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,95.237.33.83,Directed,edit,P1603,1;2
95.237.33.83,Dhx1,Directed,edit,P1603,1;2
Dhx1,2003:E8:BF24:2A5A:EDC1:C1F:699:C165,Directed,edit,P1603,1;2
2003:E8:BF24:2A5A:EDC1:C1F:699:C165,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,116.48.25.163,Directed,edit,P1603,1;2
116.48.25.163,Dhx1,Directed,edit,P1603,1;2
Dhx1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,94.190.201.202,Directed,edit,P1603,1;2
94.190.201.202,KonstantinaG07,Directed,edit,P1603,1;2
KonstantinaG07,Dhx1,Directed,edit,P1603,1;2
Dhx1,Davidpar,Directed,edit,P1603,1;2
Davidpar,Dhx1,Directed,edit,P1603,1;2
Dhx1,Mohanad,Directed,edit,P1603,1;2
Mohanad,Dhx1,Directed,edit,P1603,1;2
Dhx1,Lofhi,Directed,edit,P1603,1;2
Lofhi,Dhx1,Directed,edit,P1603,1;2
Dhx1,Lofhi,Directed,edit,P1603,1;2
Lofhi,Dhx1,Directed,edit,P1603,1;2
Dhx1,TiagoLubiana,Directed,edit,P1603,1;2
TiagoLubiana,Dhx1,Directed,edit,P1603,1;2
Dhx1,So9q,Directed,edit,P1603,1;2
So9q,Dhx1,Directed,edit,P1603,1;2
Dhx1,81.35.48.190,Directed,edit,P1603,1;2
81.35.48.190,Dhx1,Directed,edit,P1603,1;2
Dhx1,Sun8908,Directed,edit,P1603,1;2
Sun8908,105.107.214.147,Directed,edit,P1603,1;2
105.107.214.147,Sun8908,Directed,edit,P1603,1;2
Sun8908,MatSuBot,Directed,edit,P1603,1;2
MatSuBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,KrBot,Directed,edit,P1603,1;2
KrBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,Les Meloures,Directed,edit,P1603,1;2
Les Meloures,KrBot,Directed,edit,P1603,1;2
KrBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,KrBot,Directed,edit,P1603,1;2
KrBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,KrBot,Directed,edit,P1603,1;2
KrBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,KrBot,Directed,edit,P1603,1;2
KrBot,Sun8908,Directed,edit,P1603,1;2
Sun8908,103.220.77.24,Directed,edit,P1603,1;2
103.220.77.24,DanielAlba15,Directed,edit,P1603,1;2
DanielAlba15,Sun8908,Directed,edit,P1603,1;2
Sun8908,Jordirooca,Directed,edit,P1603,1;2
Jordirooca,Dhx1,Directed,edit,P1603,1;2
Dhx1,Julián L. Páez,Directed,edit,P1603,1;2
Julián L. Páez,Dhx1,Directed,edit,P1603,1;2
Dhx1,Les Meloures,Directed,edit,P1603,1;2
Les Meloures,Dhx1,Directed,edit,P1603,1;2
Dhx1,Julián L. Páez,Directed,edit,P1603,1;2
Julián L. Páez,Bassel Elgohary,Directed,edit,P1603,1;2
Bassel Elgohary,Dhx1,Directed,edit,P1603,1;2
Dhx1,Bassel Elgohary,Directed,edit,P1603,1;2
Bassel Elgohary,Les Meloures,Directed,edit,P1603,1;2
Les Meloures,108.56.130.85,Directed,edit,P1603,1;2
108.56.130.85,Shiro D. Neko,Directed,edit,P1603,1;2
Shiro D. Neko,Epìdosis,Directed,edit,P1603,1;2
Epìdosis,Asav,Directed,edit,P1603,1;2
Asav,99of9,Directed,edit,P1603,2;3
99of9,GZWDer,Directed,delete,P1603,3;4
Dhx1,Jeblad,Directed,delete,P973,1;2
Jeblad,Salgo60,Directed,edit,P973,1;2
Salgo60,Chchowmein,Directed,edit,P973,1;2
Chchowmein,Lofhi,Directed,edit,P973,1;2
Lofhi,Dhx1,Directed,edit,P973,1;2
Dhx1,Sun8908,Directed,edit,P973,1;2
Sun8908,49.182.23.133,Directed,edit,P973,1;2
49.182.23.133,Peaceray,Directed,edit,P973,1;2
Dhx1,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P495,1;2
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P495,1;2
Epìdosis,Doostdar,Directed,delete,P495,1;2
Doostdar,Supaplex,Directed,create,P495,1;2
Arbnos,HapHaxion,Directed,delete,P585,1;2
HapHaxion,Triggerhippie4,Directed,create,P585,1;2
Triggerhippie4,Amadalvarez,Directed,edit,P585,1;2
Amadalvarez,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P585,1;2
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P585,1;2
Epìdosis,Don-vip,Directed,delete,P585,2;3
Salgo60,Chchowmein,Directed,edit,P2572,1;2
Chchowmein,Sun8908,Directed,edit,P2572,1;2
Sun8908,Z7504,Directed,edit,P2572,1;2
Trade,2001:1970:55DA:3F00:B5EC:99F6:494A:2E8A,Directed,edit,P6760,1;2
2001:1970:55DA:3F00:B5EC:99F6:494A:2E8A,Epìdosis,Directed,edit,P6760,1;2
Neo-Jay,KrBot,Directed,edit,P2354,1;2
Dhx1,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P3984,1;2
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P3984,1;2
Epìdosis,OsamaK,Directed,edit,P3984,1;2
OsamaK,Lockal,Directed,edit,P3984,1;2
Jeanjung212,Azertus,Directed,edit,P7301,1;2
Azertus,Trade,Directed,edit,P7301,3;4
Jeanjung212,Horcrux,Directed,edit,P2581,3;4
Jeanjung212,Ivan A. Krestinin,Directed,delete,P3479,2;3
Jeanjung212,Pyb en résidence,Directed,edit,P5551,3;4
Neo-Jay,Trade,Directed,edit,P527,1;2
Trade,Neo-Jay,Directed,edit,P527,1;2
Neo-Jay,Theklan,Directed,edit,P527,1;2
Theklan,Davidpar,Directed,edit,P527,1;2
Davidpar,Toghrul R,Directed,edit,P527,1;2
Toghrul R,Davidpar,Directed,edit,P527,1;2
Davidpar,Neo-Jay,Directed,edit,P527,1;2
Neo-Jay,Eulenspiegel1,Directed,edit,P527,1;2
Eulenspiegel1,Matlin,Directed,edit,P527,2;3
Neo-Jay,BohemianRhapsody,Directed,delete,P625,1;2
Triggerhippie4,Sdkb,Directed,edit,P1846,1;2
Sdkb,Naypta,Directed,edit,P1846,1;2
Naypta,Raphaël Dunant,Directed,edit,P1846,1;2
Raphaël Dunant,Naypta,Directed,edit,P1846,1;2
Naypta,Iwan.Aucamp,Directed,edit,P1846,1;2
Iwan.Aucamp,Davidpar,Directed,edit,P1846,1;2
Neo-Jay,Sdkb,Directed,delete,P1339,1;2
Premeditated,IngeniousBot,Directed,edit,P5082,2;3
Mikani,Codas,Directed,edit,P948,3;4
Neo-Jay,Yupik,Directed,delete,P6104,1;2
Spinster,Yupik,Directed,create,P5008,1;2
Yupik,Research Bot,Directed,edit,P5008,2;3
Research Bot,Theklan,Directed,edit,P5008,2;3
Theklan,Steenthbot,Directed,edit,P5008,3;4
ElmarG,Eulenspiegel1,Directed,delete,P460,1;2
Nintendofan885,Robins7,Directed,delete,P1151,1;2
Robins7,Alan ffm,Directed,create,P1151,1;2
Alan ffm,Christmas Wreath,Directed,delete,P1151,2;3
TiagoLubiana,So9q,Directed,edit,P8010,1;2
So9q,Jimmy Olano,Directed,edit,P8010,1;2
Jimmy Olano,105.159.2.2,Directed,edit,P8010,1;2
105.159.2.2,Saabzy,Directed,edit,P8010,1;2
Saabzy,Sun8908,Directed,edit,P8010,1;2
Sun8908,Premeditated,Directed,edit,P8010,1;2
Premeditated,2600:8807:9200:E9:DBF:763A:FBE0:6420,Directed,edit,P8010,1;2
2600:8807:9200:E9:DBF:763A:FBE0:6420,Epìdosis,Directed,edit,P8010,1;2
Epìdosis,105.107.214.147,Directed,edit,P8010,1;2
105.107.214.147,Sun8908,Directed,edit,P8010,1;2
Sun8908,Bassel Elgohary,Directed,edit,P8010,1;2
Bassel Elgohary,Julián L. Páez,Directed,edit,P8010,1;2
Julián L. Páez,Bassel Elgohary,Directed,edit,P8010,1;2
Bassel Elgohary,Shiro D. Neko,Directed,edit,P8010,1;2
Shiro D. Neko,Z7504,Directed,edit,P8010,1;2
Pacostein,Wd-Ryan,Directed,edit,P7775,1;2
Wd-Ryan,Hanif Al Husaini,Directed,edit,P7775,1;2
Hanif Al Husaini,Susmuffin,Directed,edit,P7775,2;3
Susmuffin,1857a,Directed,edit,P7775,3;4
Pacostein,37.124.135.233,Directed,edit,P6839,1;2
37.124.135.233,FallingGravity,Directed,edit,P6839,2;3
FallingGravity,Lemondoge,Directed,edit,P6839,3;4
NMaia,Sun8908,Directed,edit,P1282,1;2
Sun8908,Reinheitsgebot,Directed,edit,P1282,2;3
112.79.112.86,Pacostein,Directed,delete,P7829,1;2
Leonprimer,Horcrux,Directed,edit,P1417,3;4
Pacostein,Ameisenigel,Directed,delete,P7827,3;4
Angelillo28,Julián L. Páez,Directed,delete,P582,1;2
Julián L. Páez,Angelillo2026,Directed,create,P582,1;2
Angelillo2026,Epìdosis,Directed,delete,P582,1;2
J 1982,Horcrux,Directed,delete,P4073,3;4
Baidax,Eihel,Directed,delete,P9346,1;2
Eihel,Pyb en résidence,Directed,edit,P9346,3;4
Egon Willighagen,Horcrux,Directed,edit,P10283,3;4
C7002593,KrBot,Directed,edit,P244,2;3
KrBot,Kolja21,Directed,edit,P244,2;3
Wurgl,Kolja21,Directed,edit,P227,2;3
Zhenqinli,Swpb,Directed,edit,P11738,3;4
Mr. Ibrahem,Mr.Ibrahembot,Directed,edit,P11143,3;4
Mr.Ibrahembot,KrBot,Directed,edit,P11143,3;4
Reinheitsgebot,Epìdosis,Directed,delete,P4656,3;4
