Source,Target,interaction_type,predicate,revision_id
GerardM,Trivialist,edit,P166,482647293
Trivialist,MaksOttoVonStirlitz,edit,P166,564012227
MaksOttoVonStirlitz,Trivialist,edit,P166,622903670
Trivialist,Valentina.Anitnelav,edit,P166,1069412871
Valentina.Anitnelav,PLbot,edit,P166,1081966106
PLbot,Premeditated,edit,P166,1204643896
Premeditated,Manu1400,edit,P166,1285445467
Manu1400,Haansn08,edit,P166,1285600084
Haansn08,Orwell1,edit,P166,1295050463
Orwell1,99of9,edit,P166,1295066928
99of9,Elli,edit,P166,1343803456
Elli,FShbib,edit,P166,1354859546
FShbib,BaubLeBuidler,edit,P166,1599741515
BaubLeBuidler,Finnusertop,edit,P166,1687284479
Finnusertop,Simba16,edit,P166,1719596548
Simba16,Шиманський Василь,edit,P166,1785359470
Шиманський Василь,Brunnaiz,edit,P166,1822903577
Brunnaiz,DifoolBot,edit,P166,2258149702
DifoolBot,Pegy22,edit,P166,2271255781
Pegy22,Mivmunfdgg234556,edit,P166,2287288400
Mivmunfdgg234556,Duckmather,edit,P166,2302161767
Duckmather,Mr.Karhi,edit,P166,2348905906
Jura1,Wylve,edit,P25,421958554
Triggerhippie4,2607:FCC8:9E49:2D00:5919:4280:7F6:8706,edit,P9,330376163
2607:FCC8:9E49:2D00:5919:4280:7F6:8706,Jklamo,edit,P9,330377753
Jklamo,FallingGravity,edit,P9,363551169
FallingGravity,PLbot,delete,P9,415776646
Triggerhippie4,Buccinek,edit,P1038,986877608
Buccinek,Andreasmperu,edit,P1038,1044261123
Andreasmperu,PaSova,edit,P1038,1217327575
PaSova,Coqui002,edit,P1038,1312252976
Coqui002,KrBot,edit,P1038,1312277823
KrBot,Quesotiotyo,edit,P1038,1324635098
Quesotiotyo,KrBot,edit,P1038,1461539824
KrBot,أبو علاء العلوي,edit,P1038,2292484942
أبو علاء العلوي,Adeletron 3030,edit,P1038,2346214960
Triggerhippie4,Horst,edit,P172,391631351
Horst,Triggerhippie4,edit,P172,403416153
Triggerhippie4,ElmarG,edit,P172,482580415
ElmarG,Lieutcoluseng,edit,P172,1000336085
RAMSES$44932,Matthias Winkelmann,edit,P172,1278247437
RAMSES$44932,KrBot,edit,P172,1319365094
KrBot,Matthias Winkelmann,edit,P172,1319450441
1Veertje,Wolverène,edit,P172,1958072791
Triggerhippie4,Entbert,edit,P800,433556053
Entbert,Danrok,edit,P800,434010586
Danrok,PLbot,edit,P800,1081965822
Triggerhippie4,本日晴天,edit,P271,1844967173
Triggerhippie4,Wolfgang8741,edit,P2190,1594129380
Wolfgang8741,Horcrux,edit,P2190,1636085707
Triggerhippie4,Netoholic,edit,P1417,323340607
Netoholic,Triggerhippie4,edit,P1417,403424701
Triggerhippie4,Magnus Manske,edit,P1417,411246625
Magnus Manske,Triggerhippie4,edit,P1417,434406799
Triggerhippie4,Magnus Manske,edit,P1417,556921444
Magnus Manske,FS100,edit,P1417,730914142
FS100,Simon Villeneuve,edit,P1417,923935441
Simon Villeneuve,Biscuit-in-Chief,edit,P1417,948981373
Biscuit-in-Chief,Matlin,edit,P1417,1488274492
Matlin,Horcrux,edit,P1417,1988307515
Horcrux,Duckmather,edit,P1417,2302159820
Triggerhippie4,Gyrostat,edit,P1343,403744088
Gyrostat,Triggerhippie4,edit,P1343,403902648
Triggerhippie4,Jura1,edit,P1343,403902926
Jura1,Triggerhippie4,edit,P1343,403903336
Triggerhippie4,Jura1,edit,P1343,403904378
Jura1,Triggerhippie4,edit,P1343,403905372
Triggerhippie4,Gyrostat,edit,P1343,403921104
Gyrostat,Triggerhippie4,edit,P1343,403926020
Triggerhippie4,Wylve,edit,P1343,421967708
Wylve,Triggerhippie4,edit,P1343,434555772
Triggerhippie4,DeltaBot,edit,P1343,544220209
DeltaBot,ElmarG,edit,P1343,624281623
ElmarG,Jc86035,edit,P1343,827048757
Jc86035,Vojtěch Dostál,edit,P1343,1011989940
Vojtěch Dostál,Helgi-S,edit,P1343,1091756420
Helgi-S,Premeditated,edit,P1343,1204643896
Premeditated,PaSova,edit,P1343,1217740373
PaSova,Arlo Barnes,edit,P1343,1311428615
Triggerhippie4,Yerpo,edit,P1280,330128116
Yerpo,PaSova,edit,P1280,644060758
PaSova,Epìdosis,edit,P1280,2116083287
Triggerhippie4,Arbnos,edit,P648,425997562
Arbnos,MatSuBot,edit,P648,528985335
Triggerhippie4,Tpt,edit,P2397,404410563
Tpt,Pigsonthewing,delete,P2397,407915358
Triggerhippie4,Pigsonthewing,delete,P2397,407944349
Thibaut120094,Pigsonthewing,delete,P2397,468274256
BrokenSegue,OsamaK,edit,P2397,1224262519
OsamaK,Kimsaka,edit,P2397,1264983731
Kimsaka,BorkedBot,edit,P2397,1321261412
BorkedBot,Wd-Ryan,edit,P2397,1337480527
Wd-Ryan,M2545,edit,P2397,1340186384
Triggerhippie4,208.94.131.73,edit,P1449,679458722
208.94.131.73,Galobtter,edit,P1449,679462338
Galobtter,Niskka2,delete,P1449,2270878880
Triggerhippie4,Zenfiric,edit,P1424,1224252175
Triggerhippie4,Thibaut120094,edit,P154,434077411
Thibaut120094,Wow,delete,P154,1943314342
MineoBot,Nintendofan885,edit,P434,1845491213
Danrok,Jared Preston,edit,P2218,416141707
Jared Preston,Kamapants,edit,P2218,842800492
Kamapants,JC Work,edit,P2218,925354577
JC Work,Premeditated,edit,P2218,1204643896
Premeditated,RVA2869,edit,P2218,1602904341
RVA2869,Trivialist,edit,P2218,2053932819
Salgo60,Lesko987a,edit,P2949,1473338528
Pigsonthewing-bot,Danrok,edit,P3106,383987804
Josve05a,Triggerhippie4,edit,P3222,403504923
Triggerhippie4,Thierry Caro,edit,P3222,819459026
Thierry Caro,Reinheitsgebot,edit,P3222,1136029671
Reinheitsgebot,Duckmather,edit,P3222,2302161339
Proud User,KrBot,edit,P2067,390850429
KrBot,Jared Preston,edit,P2067,416141690
Jared Preston,Wylve,edit,P2067,421966177
Wylve,Proud User,edit,P2067,621196499
Proud User,Nicewels,edit,P2067,654869860
Nicewels,Manu1400,edit,P2067,858844310
Manu1400,Baji,edit,P2067,1081597356
Baji,Infovarius,edit,P2067,1082240501
Infovarius,Khiari,edit,P2067,1196603669
Khiari,Premeditated,edit,P2067,1204643896
Premeditated,Maggot27,edit,P2067,1307231609
Maggot27,Matthias Winkelmann,edit,P2067,1319451191
Matthias Winkelmann,Infovarius,edit,P2067,1338574518
Infovarius,Asav,edit,P2067,1866214133
Asav,Effeietsanders,edit,P2067,1960696240
Effeietsanders,Gabldotink,edit,P2067,2224666868
Gabldotink,Amadalvarez,edit,P2067,2328551380
Amadalvarez,Этот месяц,edit,P2067,2345614465
Triggerhippie4,Entbert,edit,P937,433558162
Entbert,JFG,edit,P937,530785042
JFG,PLbot,edit,P937,1081965886
PLbot,Rodhullandemu,edit,P937,1348815147
Sotho Tal Ker,KrBot,edit,P1670,1150620477
Triggerhippie4,Pigsonthewing,edit,P2963,466754863
Pigsonthewing,BorkedBot,edit,P2963,1283373118
Triggerhippie4,SpanishSnake,edit,P443,808162112
Triggerhippie4,Arbnos,edit,P1411,433596499
Arbnos,Triggerhippie4,edit,P1411,435776472
Triggerhippie4,Galaktos,edit,P1411,873523114
Galaktos,Valentina.Anitnelav,edit,P1411,1069412949
Valentina.Anitnelav,Matthias Winkelmann,edit,P1411,1286806878
Matthias Winkelmann,Duckmather,edit,P1411,2302159738
Triggerhippie4,Thierry Caro,delete,P2686,712241546
Triggerhippie4,Matlin,edit,P1015,1726511081
Matlin,KingSkyLord,edit,P1015,1948959576
Triggerhippie4,22merlin,edit,P2048,405698730
22merlin,Triggerhippie4,edit,P2048,405970401
Triggerhippie4,Ayoungprogrammer,edit,P2048,408967997
Ayoungprogrammer,Jared Preston,edit,P2048,416141649
Jared Preston,Proud User,edit,P2048,621196632
Proud User,Nicewels,edit,P2048,654869978
Nicewels,Sambo97,edit,P2048,749625598
Sambo97,Manu1400,edit,P2048,858844763
Manu1400,Vanilli996,edit,P2048,1044448928
Vanilli996,MatSuBot,edit,P2048,1047141718
MatSuBot,Baji,edit,P2048,1081598252
Baji,Infovarius,edit,P2048,1082240501
Infovarius,MatSuBot,edit,P2048,1115675523
MatSuBot,Premeditated,edit,P2048,1204643896
Premeditated,Echando una mano,edit,P2048,1302736110
Echando una mano,Infovarius,edit,P2048,1303490801
Infovarius,Gobonobo,edit,P2048,1322037034
Gobonobo,Denny,edit,P2048,1554461406
Denny,Effeietsanders,edit,P2048,1960695226
Effeietsanders,Back ache,edit,P2048,2095878435
Back ache,Hardwigg,edit,P2048,2216332298
Epìdosis,Bargioni,edit,P396,1692801096
Bargioni,DifoolBot,edit,P396,2282545316
Triggerhippie4,Echando una mano,delete,P53,408033739
KrBot,Triggerhippie4,edit,P53,1165952872
Triggerhippie4,Jura1,edit,P410,406167841
Jura1,Wylve,edit,P410,433576143
Wylve,Lovasoa,delete,P410,1211059376
Triggerhippie4,SpanishSnake,edit,P898,808162201
SpanishSnake,Nikki,delete,P898,1820916539
Kareyac,Lovasoa,delete,P989,1211060333
Mr. Ibrahem,PokestarFan,edit,P3373,528338043
PokestarFan,Pooriaazimi,edit,P3373,588971235
Pooriaazimi,Robin van der Vliet,edit,P3373,594566148
Robin van der Vliet,أبو علاء العلوي,edit,P3373,2292573501
Jura1,Eingangskontrolle,edit,P1889,432643661
Eingangskontrolle,Infovarius,edit,P1889,447636543
Infovarius,GeertivpBot,edit,P1889,1577729662
GeertivpBot,Legonin,edit,P1889,2248911918
LydiaPintscher,Pigsonthewing,edit,P3417,428630849
Pigsonthewing,Triggerhippie4,edit,P3417,434423601
Triggerhippie4,Pigsonthewing-bot,edit,P3417,440896638
Pigsonthewing-bot,JayWacker,edit,P3417,451728526
JayWacker,KrBot,edit,P3417,456904764
KrBot,Matlin,edit,P3417,1332131015
Josve05a,DeltaBot,edit,P3479,438075475
DeltaBot,Pasleim,edit,P3479,438075931
Entbert,Premeditated,edit,P973,1204643896
Premeditated,Back ache,edit,P973,2325950535
Triggerhippie4,Lieutcoluseng,edit,P94,750933994
Lieutcoluseng,KrBot,edit,P94,795891515
KrBot,DannyS712,edit,P94,830725033
DannyS712,Track13,delete,P94,851349583
Triggerhippie4,Trivialist,delete,P724,1294005405
Infovarius,Trivialist,delete,P724,1303518398
RVA2869,Duckmather,delete,P724,2302162604
Triggerhippie4,KrBot,delete,P361,647746201
Infovarius,Trivialist,edit,P463,1354844638
Trivialist,RVA2869,edit,P463,1602863278
RVA2869,Nw520,edit,P463,1737861347
Nw520,أبو علاء العلوي,edit,P463,2282632528
Mutante,Nicewels,edit,P1884,654862579
Nicewels,95.17.71.24,edit,P1884,677787023
95.17.71.24,Zaccarias,edit,P1884,677799412
Zaccarias,95.131.167.34,edit,P1884,682611847
95.131.167.34,Galobtter,edit,P1884,682617182
Galobtter,Premeditated,edit,P1884,1204643896
Premeditated,Effeietsanders,edit,P1884,1960697236
Mutante,22merlin,edit,P462,470613873
Mwtoews,DeltaBot,edit,P742,477301599
DeltaBot,83.58.143.235,edit,P742,483743009
83.58.143.235,Jared Preston,edit,P742,483743526
Jared Preston,Kovox90,edit,P742,544194854
Kovox90,DeltaBot,edit,P742,544220231
DeltaBot,Richard Arthur Norton (1958- ),edit,P742,655606263
Richard Arthur Norton (1958- ),DeltaBot,edit,P742,655612835
DeltaBot,Jc86035,edit,P742,827047431
Jc86035,DannyS712,edit,P742,953025613
DannyS712,DemonDays64,edit,P742,1087874398
DemonDays64,Pigsonthewing,edit,P742,1160509886
Pigsonthewing,KrBot,edit,P742,1166799875
KrBot,Premeditated,edit,P742,1204643896
Premeditated,Elli,edit,P742,1343802239
Elli,PantheraLeo1359531,edit,P742,2342059268
Botcrux,William Avery Bot,edit,P3365,1597457537
Maxlath,PLbot,edit,P3984,675078939
PLbot,Maxlath,edit,P3984,1109209632
Maxlath,OsamaK,edit,P3984,1227209203
OsamaK,Wd-Ryan,edit,P3984,1337481623
Wd-Ryan,Trade,edit,P3984,1658434419
Trade,Infovarius,edit,P3984,1847529265
Infovarius,Trade,edit,P3984,1876468127
Trade,Maxlath,edit,P3984,2083366628
Maxlath,DifoolBot,edit,P3984,2258149702
Pigsonthewing,Premeditated,edit,P4265,1204643896
Premeditated,Wd-Ryan,edit,P4265,1337897290
Zenfiric,Josh404Bot,edit,P4985,1430572049
Tom Morris,Tagishsimon,edit,P4527,1345773699
Tagishsimon,Morrelln,edit,P4527,1474744286
Frettie,Thierry Caro,edit,P1344,1028554262
Thierry Caro,HapHaxion,edit,P1344,1079497796
HapHaxion,DannyS712,edit,P1344,1079520608
DannyS712,SilentSpike,edit,P1344,1198578745
SilentSpike,J 1982,edit,P1344,1338924948
J 1982,Infovarius,edit,P1344,1341699329
Infovarius,Germartin1,edit,P1344,1787426438
Germartin1,Unclejohann,edit,P1344,2168762271
Unclejohann,Cranloa12n,edit,P1344,2223016523
Shadess,KrBot,delete,P2671,698819887
QuickStatementsBot,Mivmunfdgg234556,edit,P5361,2314951347
Nicewels,Andreasmperu,delete,P108,713913197
Janitoalevic,Trivialist,delete,P108,1664226664
Arch2all,Premeditated,edit,P5508,1204643896
Thierry Caro,Pyb en résidence,edit,P5551,2287743705
AliciaFagervingWMSE-bot,Premeditated,edit,P5587,1204643896
Premeditated,DifoolBot,edit,P5587,2282545316
Fuzheado,Genderforschung,edit,P6251,1095590565
Mariogoods,Jeanjung212,edit,P3553,1179147851
Jeanjung212,MidleadingBot,edit,P3553,1826585592
Nicewels,Andreasmperu,delete,P1591,878846579
Thierry Caro,AIRAZUR,edit,P6620,991625406
Trivialist,Nintendofan885,edit,P2850,1845489087
Nintendofan885,Trivialist,edit,P2850,1868223371
Jeluang Terluang,Ytterbyz,edit,P5404,2257965892
Havoc Crow,Trivialist,edit,P6839,1294001166
Kayakgamey,Trivialist,delete,P241,987724522
Premeditated,KrBot,edit,P4342,1009943887
FallingGravity,Wd-Ryan,edit,P5797,1337446185
Wd-Ryan,Reinheitsgebot,edit,P5797,1542667216
Reinheitsgebot,Kimsaka,delete,P5797,1705309948
Kimsaka,Wd-Ryan,edit,P5797,2222118946
Vanilli996,Effeietsanders,edit,P1340,1960696648
Trade,Salgo60,edit,P3388,1111636262
Helgi-S,Charp238,edit,P6058,2061783609
Tinker Bell,Ameisenigel,delete,P7818,2199434629
Tinker Bell,Ameisenigel,delete,P7829,2192087303
Tinker Bell,Ameisenigel,delete,P7827,2192099815
Tinker Bell,Ameisenigel,delete,P7832,2192107240
Tinker Bell,Ameisenigel,delete,P7822,2192091065
Dcflyer,Jeanjung212,edit,P7929,1124357408
GreenComputer,Premeditated,edit,P6553,1204643896
Vladimir Alexiev,Twofivesixbot,delete,P7859,2152680477
Sotho Tal Ker,Epìdosis,delete,P7699,1200774408
Sotho Tal Ker,KrBot,edit,P6394,2259734113
KrBot,Duckmather,edit,P6394,2302162495
Wdpp,Mariobanana,edit,P6900,2294475734
Oravrattas,J 1982,edit,P3602,1341706439
J 1982,Cranloa12n,edit,P3602,2223016138
99of9,Ben Skála,edit,P1050,1285349508
Ben Skála,Dhx1,edit,P1050,1285359059
Dhx1,Trivialist,edit,P1050,1286669100
Trivialist,NMaia,edit,P1050,1329155421
NMaia,Ottawahitech,edit,P1050,1502261106
Matthias Winkelmann,DeltaBot,edit,P2295,1286847298
DeltaBot,99of9,edit,P2295,1302778993
99of9,Duckmather,delete,P2295,2302160182
Trivialist,TnT20052013,edit,P6262,1355617497
TnT20052013,BorkedBot,edit,P6262,1382050473
BorkedBot,Solidest,edit,P6262,1891333938
Solidest,BorkedBot,edit,P6262,1894025164
BorkedBot,Mullanur,edit,P6262,2253194054
Mullanur,J 1982,edit,P6262,2300918471
Dhx1,NMaia,edit,P641,1329155421
NMaia,Asav,edit,P641,1866214936
Arlo Barnes,Trade,edit,P8839,1311743345
Trade,Mayimbú,edit,P8919,1337476574
Mayimbú,Wd-Ryan,edit,P8919,1337499815
Wd-Ryan,Int21h,edit,P8919,1609054162
Wd-Ryan,Gereon K.,delete,P8687,1337645950
Jura1,דברי.הימים,edit,P8687,1342902603
Jura1,BorkedBot,edit,P8687,1352245010
Animalparty,Jneubert,edit,P4293,1344696474
Valentin Sapiens,Photoshoper97,edit,P3789,1410869054
Photoshoper97,Addshore,edit,P3789,1410875693
Addshore,Սահակ,delete,P3789,1578061057
Apurarazul,Eihel,delete,P9395,1580432689
Trivialist,Nintendofan885,edit,P1581,1747658138
Infovarius,Reinheitsgebot,edit,P1552,1542667236
Reinheitsgebot,TiagoLubiana,edit,P1552,1590188005
TiagoLubiana,Quesotiotyo,delete,P1552,1847846999
Arlo Barnes,Crystal-bot,edit,P5737,1668228802
Crystal-bot,So47009,edit,P5737,2217448393
Sotho Tal Ker,KrBot,edit,P1695,1971691180
Thierry Caro,Hearvox,edit,P9852,2108203859
So9q,Asav,edit,P3618,1866213061
Photoshoper97,Proeksad,edit,P6739,2311848174
Sadads,Back ache,edit,P10843,1769163917
Back ache,Witidaka,edit,P10843,1943452586
Witidaka,DifoolBot,edit,P10843,2282545316
DifoolBot,Duckmather,edit,P10843,2302158749
Duckmather,Sadads,edit,P10843,2325655470
BrokenSegue,DifoolBot,edit,P7502,2282545316
Johnson524,Infovarius,delete,P971,1758159538
Wd-Ryan,Back ache,edit,P2572,2223279769
MSMST1543,Mbch331,edit,P11245,1801894184
Reinheitsgebot,Quesotiotyo,delete,P17,1841558359
Nintendofan885,Trivialist,edit,P1902,2027622285
Obscuraa,Solidest,edit,P2924,1930127169
Tataral,Wd-Ryan,edit,P2632,1960609934
Wd-Ryan,Effeietsanders,edit,P2632,1960691236
Effeietsanders,Hodolog,edit,P2632,1960808570
Hodolog,Jane023,edit,P2632,1960844239
Jane023,Tataral,edit,P2632,1961753371
Tataral,Infovarius,edit,P2632,2019827002
Infovarius,Duckmather,edit,P2632,2302160338
Sonia197881,Armurdo,edit,P4440,2270954660
Back ache,JnpoJuwan,delete,P111,2292397130
BrokenSegue,Hemmers,edit,P1399,2169322578
Hemmers,Quick-ease2020,edit,P1399,2181293512
Quick-ease2020,Farisori,edit,P1399,2220399776
Mykhal,Duckmather,delete,P805,2302158450
Ecravo,Heinrich5991,delete,P136,2300734091
Janitoalevic,Michiger,edit,P135,2300508412
Totorvdr59,Deva1995,delete,P3342,2349458119
